E_γ[eV]  opacity[cm^2/g]
9.2042e-1 2.2384e+3
9.2122e-1 2.8936e+3
9.2321e-1 2.6230e+3
9.2521e-1 3.7976e+3
9.2808e-1 3.2794e+3
9.3124e-1 4.2639e+3
9.3325e-1 4.9841e+3
9.3487e-1 5.5904e+3
9.4020e-1 6.6984e+3
9.5448e-1 6.5812e+3
9.7149e-1 7.2245e+3
9.8297e-1 7.9613e+3
9.8552e-1 8.8492e+3
9.8936e-1 1.0331e+4
9.9365e-1 1.1791e+4
9.9796e-1 1.3508e+4
1.0030e+0 1.5829e+4
1.0114e+0 1.8832e+4
1.0253e+0 1.9410e+4
1.0309e+0 1.7551e+4
1.0331e+0 1.5534e+4
1.0383e+0 1.3475e+4
1.0521e+0 1.6055e+4
1.0557e+0 1.4136e+4
1.0687e+0 1.6524e+4
1.0741e+0 1.3977e+4
1.0858e+0 1.4352e+4
1.0858e+0 1.6861e+4
1.0858e+0 1.8835e+4
1.0891e+0 2.2336e+4
1.0943e+0 2.6260e+4
1.1047e+0 2.5479e+4
1.1057e+0 1.7893e+4
1.1057e+0 2.1255e+4
1.1129e+0 1.5214e+4
1.1240e+0 1.5247e+4
1.1264e+0 1.8508e+4
1.1367e+0 2.2041e+4
1.1426e+0 2.4873e+4
1.1596e+0 2.3415e+4
1.1606e+0 2.7398e+4
1.1686e+0 2.1663e+4
1.1686e+0 3.0240e+4
1.1762e+0 1.8910e+4
1.1762e+0 2.5483e+4
1.1788e+0 2.1911e+4
1.1802e+0 1.5682e+4
1.1864e+0 1.3013e+4
1.1916e+0 1.1575e+4
1.2083e+0 1.0431e+4
1.2182e+0 1.1832e+4
1.2256e+0 8.4192e+3
1.2256e+0 9.6938e+3
1.2282e+0 7.3863e+3
1.2309e+0 6.3509e+3
1.2335e+0 5.5229e+3
1.2389e+0 4.6016e+3
1.2443e+0 3.9766e+3
1.2610e+0 4.4739e+3
1.2669e+0 4.1194e+3
1.2837e+0 4.6153e+3
1.2881e+0 3.9321e+3
1.2964e+0 4.5560e+3
1.2992e+0 3.3682e+3
1.3105e+0 3.0649e+3
1.3238e+0 3.6053e+3
1.3421e+0 3.3180e+3
1.3450e+0 3.6328e+3
1.3567e+0 4.6492e+3
1.3577e+0 4.0788e+3
1.3744e+0 3.8109e+3
1.3823e+0 4.5111e+3
1.3881e+0 5.2361e+3
1.4014e+0 4.6613e+3
1.4090e+0 5.3603e+3
1.4105e+0 6.2108e+3
1.4166e+0 6.7999e+3
1.4166e+0 7.6733e+3
1.4166e+0 8.6587e+3
1.4185e+0 9.8747e+3
1.4228e+0 1.1278e+4
1.4320e+0 6.7490e+3
1.4320e+0 9.6975e+3
1.4338e+0 5.5339e+3
1.4351e+0 7.2784e+3
1.4351e+0 8.2132e+3
1.4370e+0 4.5297e+3
1.4476e+0 3.8890e+3
1.4633e+0 3.6749e+3
1.4697e+0 4.2047e+3
1.4697e+0 5.4630e+3
1.4735e+0 4.8121e+3
1.4793e+0 6.1184e+3
1.4793e+0 7.1698e+3
1.4825e+0 7.8500e+3
1.4825e+0 8.8581e+3
1.4825e+0 1.1625e+4
1.4878e+0 1.0225e+4
1.4889e+0 1.2475e+4
1.4889e+0 1.4077e+4
1.4889e+0 1.9428e+4
1.4935e+0 1.6741e+4
1.4953e+0 2.0847e+4
1.5000e+0 2.4580e+4
1.5070e+0 2.8773e+4
1.5214e+0 2.0953e+4
1.5247e+0 2.3422e+4
1.5324e+0 2.9360e+4
1.5446e+0 3.5820e+4
1.5446e+0 4.0420e+4
1.5457e+0 4.7129e+4
1.5463e+0 3.1267e+4
1.5480e+0 5.2649e+4
1.5547e+0 2.5372e+4
1.5614e+0 3.8924e+4
1.5614e+0 4.3923e+4
1.5648e+0 2.8452e+4
1.5648e+0 3.2966e+4
1.5682e+0 2.4742e+4
