E_γ[eV]  opacity[cm^2/g]
2.8613e-1 1.1328e+4
2.9103e-1 1.3054e+4
2.9684e-1 1.4669e+4
3.0363e-1 1.5677e+4
3.1056e-1 1.5608e+4
3.1765e-1 1.4541e+4
3.2399e-1 1.3055e+4
3.2952e-1 1.1397e+4
3.3514e-1 9.8322e+3
3.4086e-1 8.3335e+3
3.4408e-1 7.3614e+3
3.4864e-1 6.2949e+3
3.5259e-1 5.4629e+3
3.5861e-1 4.7270e+3
3.6199e-1 4.1756e+3
3.6991e-1 3.8159e+3
3.7837e-1 4.1327e+3
3.8375e-1 4.8259e+3
3.8812e-1 5.7615e+3
3.9254e-1 6.9091e+3
3.9701e-1 8.2487e+3
4.0153e-1 9.6322e+3
4.0609e-1 1.1248e+4
4.1421e-1 1.3369e+4
4.2368e-1 1.4351e+4
4.3335e-1 1.3370e+4
4.4199e-1 1.1466e+4
4.4449e-1 1.0189e+4
4.4953e-1 8.9738e+3
4.5463e-1 7.6510e+3
4.5978e-1 6.4086e+3
4.6499e-1 5.2737e+3
4.7026e-1 4.3784e+3
4.7559e-1 3.6350e+3
4.8098e-1 3.0448e+3
4.8643e-1 2.5504e+3
4.9195e-1 2.1362e+3
4.9752e-1 1.7894e+3
5.0316e-1 1.4922e+3
5.0886e-1 1.2117e+3
5.1463e-1 9.7961e+2
5.2046e-1 7.7806e+2
5.2635e-1 6.0712e+2
5.2932e-1 5.0405e+2
5.3231e-1 4.3743e+2
5.3833e-1 3.2944e+2
5.4137e-1 2.7923e+2
5.4442e-1 2.3527e+2
5.4749e-1 1.9823e+2
5.5058e-1 1.6604e+2
5.5213e-1 1.4199e+2
5.5681e-1 1.1684e+2
5.5995e-1 9.4181e+1
5.6310e-1 7.7502e+1
5.6415e-1 6.4534e+1
5.6787e-1 5.3816e+1
5.7107e-1 4.3508e+1
5.7428e-1 3.5174e+1
5.7752e-1 2.8311e+1
5.8077e-1 2.2486e+1
5.8404e-1 1.7939e+1
5.8734e-1 1.4502e+1
5.9120e-1 1.2058e+1
5.9566e-1 9.8642e+0
6.0411e-1 8.1534e+0
6.1502e-1 9.0815e+0
6.1968e-1 1.0041e+1
6.2320e-1 1.1777e+1
6.2675e-1 1.4567e+1
6.3031e-1 1.7703e+1
6.3390e-1 2.2190e+1
6.3751e-1 2.7448e+1
6.4114e-1 3.4102e+1
6.4479e-1 4.2937e+1
6.4846e-1 5.4060e+1
6.5215e-1 6.8064e+1
6.5586e-1 8.5697e+1
