E_γ[eV]  opacity[cm^2/g]
1.1705e+0 1.2617e+3
1.1972e+0 1.1858e+3
1.2245e+0 1.1245e+3
1.2525e+0 1.0663e+3
1.2811e+0 1.0201e+3
1.3104e+0 9.7157e+2
1.3403e+0 9.2948e+2
1.3709e+0 8.8922e+2
1.4022e+0 8.5448e+2
1.4342e+0 8.1025e+2
1.4670e+0 7.6832e+2
1.5005e+0 7.2533e+2
1.5348e+0 6.9084e+2
1.5698e+0 6.4931e+2
1.6057e+0 6.2118e+2
1.6424e+0 5.9427e+2
1.6799e+0 5.6853e+2
1.7182e+0 5.4390e+2
1.7575e+0 5.2034e+2
1.7976e+0 4.9560e+2
1.8387e+0 4.7203e+2
1.8807e+0 4.4760e+2
1.9209e+0 4.3394e+2
1.9237e+0 5.1350e+2
1.9237e+0 5.9171e+2
1.9237e+0 6.8182e+2
1.9347e+0 7.9971e+2
1.9789e+0 8.1402e+2
2.0241e+0 8.1044e+2
2.0703e+0 7.9270e+2
2.1117e+0 7.7649e+2
2.2155e+0 7.9273e+2
2.2661e+0 7.7882e+2
2.3179e+0 7.5840e+2
2.3708e+0 7.5842e+2
2.4250e+0 7.5843e+2
2.4804e+0 7.3854e+2
2.5370e+0 7.3204e+2
2.5950e+0 7.3205e+2
2.6543e+0 7.0971e+2
2.7149e+0 7.0658e+2
2.7769e+0 6.9727e+2
2.8404e+0 6.8200e+2
2.9053e+0 6.7600e+2
2.9716e+0 6.5827e+2
3.0395e+0 6.4959e+2
3.1089e+0 6.3537e+2
3.1800e+0 6.2146e+2
3.2526e+0 6.1056e+2
3.3269e+0 5.9192e+2
3.4029e+0 5.8932e+2
3.4806e+0 5.9457e+2
3.5601e+0 5.7642e+2
3.6415e+0 5.5883e+2
3.7246e+0 5.3938e+2
3.8097e+0 5.2061e+2
3.8967e+0 5.0249e+2
3.9857e+0 4.8500e+2
4.0768e+0 4.6812e+2
4.1699e+0 4.4784e+2
4.2651e+0 4.3034e+2
4.3625e+0 4.1170e+2
4.4622e+0 3.9562e+2
4.5641e+0 3.7848e+2
4.6683e+0 3.6048e+2
4.7750e+0 3.4334e+2
4.8840e+0 3.2847e+2
4.9956e+0 3.1285e+2
5.1097e+0 2.9798e+2
5.2264e+0 2.8507e+2
5.3457e+0 2.7151e+2
5.4678e+0 2.5746e+2
5.5927e+0 2.4414e+2
5.7205e+0 2.3253e+2
5.8511e+0 2.2049e+2
5.9847e+0 2.0816e+2
6.1214e+0 1.9564e+2
6.2612e+0 1.8552e+2
6.4042e+0 1.7436e+2
6.5505e+0 1.6461e+2
6.7001e+0 1.5609e+2
6.8531e+0 1.4670e+2
7.0096e+0 1.3911e+2
7.1697e+0 1.3075e+2
7.3334e+0 1.2289e+2
7.5009e+0 1.1499e+2
7.6722e+0 1.0712e+2
7.8474e+0 9.9792e+1
8.0266e+0 9.4209e+1
8.2099e+0 8.8938e+1
8.3974e+0 8.3591e+1
8.5892e+0 7.8218e+1
8.7854e+0 7.3842e+1
8.9860e+0 6.8790e+1
9.1912e+0 6.4655e+1
9.4011e+0 5.9700e+1
9.6158e+0 5.5616e+1
9.8354e+0 5.2272e+1
