E_γ[eV]  opacity[cm^2/g]
3.363e+1 4.100e+4
3.393e+1 3.880e+4
3.423e+1 3.679e+4
3.454e+1 3.491e+4
3.484e+1 3.312e+4
3.514e+1 3.139e+4
3.545e+1 2.980e+4
3.575e+1 2.824e+4
3.605e+1 2.678e+4
3.635e+1 2.532e+4
3.666e+1 2.394e+4
3.696e+1 2.267e+4
3.726e+1 2.167e+4
3.756e+1 2.079e+4
3.787e+1 2.002e+4
3.817e+1 1.933e+4
3.847e+1 1.870e+4
3.878e+1 1.813e+4
3.908e+1 1.761e+4
3.938e+1 1.708e+4
3.968e+1 1.663e+4
3.999e+1 1.622e+4
4.029e+1 1.583e+4
4.059e+1 1.544e+4
4.089e+1 1.505e+4
4.120e+1 1.468e+4
4.150e+1 1.433e+4
4.180e+1 1.400e+4
4.211e+1 1.370e+4
4.241e+1 1.346e+4
4.271e+1 1.330e+4
4.301e+1 1.314e+4
4.332e+1 1.300e+4
4.362e+1 1.286e+4
4.392e+1 1.271e+4
4.422e+1 1.262e+4
4.453e+1 1.306e+4
4.483e+1 1.399e+4
4.513e+1 1.392e+4
4.543e+1 1.379e+4
4.574e+1 1.379e+4
4.604e+1 1.365e+4
4.634e+1 1.364e+4
4.665e+1 1.377e+4
4.695e+1 1.379e+4
4.725e+1 1.383e+4
4.755e+1 1.396e+4
4.786e+1 1.399e+4
4.816e+1 1.409e+4
4.846e+1 1.418e+4
4.876e+1 1.421e+4
4.907e+1 1.431e+4
4.937e+1 1.438e+4
4.959e+1 1.438e+4
