# Shown is also the standard deviation from a large set of initial guesses, if large then invalid- multiple solutions 
   n[1/cc]      T[K]         Zbar         σ(Zbar)      χ0[eV]       σ(χ0[eV])
   1.052e+20    1.651e+04    5.202e-01    1.171e-09    2.251e+00    5.135e-09
   1.052e+20    1.681e+04    5.689e-01    1.995e-10    2.446e+00    8.955e-10
   1.052e+20    1.712e+04    6.166e-01    9.391e-11    2.640e+00    4.311e-10
   1.052e+20    1.743e+04    6.613e-01    8.400e-11    2.822e+00    3.933e-10
   1.052e+20    1.775e+04    7.018e-01    3.560e-10    2.987e+00    1.695e-09
   1.052e+20    1.807e+04    7.374e-01    1.355e-09    3.130e+00    6.537e-09
   1.052e+20    1.840e+04    7.683e-01    1.186e-09    3.251e+00    5.781e-09
   1.052e+20    1.874e+04    7.948e-01    8.621e-10    3.351e+00    4.232e-09
   1.052e+20    1.908e+04    8.176e-01    2.027e-09    3.432e+00    9.994e-09
   1.052e+20    1.943e+04    8.372e-01    4.409e-10    3.498e+00    2.180e-09
   1.052e+20    1.979e+04    8.541e-01    1.470e-09    3.550e+00    7.274e-09
   1.052e+20    2.015e+04    8.689e-01    1.546e-09    3.590e+00    7.648e-09
   1.052e+20    2.051e+04    8.818e-01    7.581e-10    3.621e+00    3.745e-09
   1.052e+20    2.089e+04    8.931e-01    7.907e-09    3.645e+00    3.897e-08
   1.052e+20    2.127e+04    9.031e-01    5.627e-09    3.661e+00    2.764e-08
   1.052e+20    2.166e+04    9.120e-01    8.266e-09    3.671e+00    4.044e-08
   1.052e+20    2.205e+04    9.199e-01    7.415e-09    3.676e+00    3.611e-08
   1.052e+20    2.246e+04    9.269e-01    2.291e-09    3.677e+00    1.110e-08
   1.052e+20    2.287e+04    9.332e-01    4.148e-09    3.675e+00    1.999e-08
   1.052e+20    2.329e+04    9.389e-01    8.211e-09    3.669e+00    3.934e-08
   1.052e+20    2.371e+04    9.441e-01    3.462e-09    3.660e+00    1.649e-08
   1.052e+20    2.414e+04    9.487e-01    1.006e-08    3.649e+00    4.759e-08
   1.052e+20    2.458e+04    9.529e-01    7.723e-09    3.636e+00    3.630e-08
   1.052e+20    2.503e+04    9.567e-01    4.840e-09    3.621e+00    2.259e-08
   1.052e+20    2.549e+04    9.601e-01    5.428e-09    3.604e+00    2.516e-08
   1.052e+20    2.596e+04    9.633e-01    5.590e-09    3.586e+00    2.572e-08
   1.052e+20    2.643e+04    9.661e-01    1.673e-09    3.567e+00    7.639e-09
   1.052e+20    2.691e+04    9.688e-01    9.978e-10    3.547e+00    4.522e-09
   1.052e+20    2.740e+04    9.712e-01    1.757e-10    3.525e+00    7.905e-10
   1.052e+20    2.790e+04    9.733e-01    9.702e-10    3.503e+00    4.330e-09
   1.052e+20    2.841e+04    9.753e-01    1.181e-09    3.481e+00    5.231e-09
   1.052e+20    2.893e+04    9.772e-01    1.696e-09    3.457e+00    7.451e-09
   1.052e+20    2.946e+04    9.789e-01    6.772e-09    3.434e+00    2.950e-08
   1.052e+20    3.000e+04    9.804e-01    5.754e-09    3.409e+00    2.486e-08
   1.114e+20    5.000e+03    7.463e-06    7.238e-12    8.510e-03    4.127e-09
   1.114e+20    5.091e+03    9.748e-06    2.805e-11    9.638e-03    1.387e-08
   1.114e+20    5.184e+03    1.268e-05    6.687e-12    1.089e-02    2.873e-09
   1.114e+20    5.279e+03    1.641e-05    6.867e-12    1.228e-02    2.569e-09
   1.114e+20    5.375e+03    2.116e-05    7.068e-12    1.382e-02    2.308e-09
   1.114e+20    5.474e+03    2.717e-05    2.757e-11    1.552e-02    7.875e-09
   1.114e+20    5.574e+03    3.474e-05    6.633e-12    1.739e-02    1.660e-09
   1.114e+20    5.675e+03    4.425e-05    6.860e-12    1.945e-02    1.508e-09
   1.114e+20    5.779e+03    5.613e-05    7.110e-12    2.171e-02    1.375e-09
   1.114e+20    5.885e+03    7.094e-05    2.785e-11    2.419e-02    4.749e-09
   1.114e+20    5.992e+03    8.930e-05    6.758e-12    2.689e-02    1.018e-09
   1.114e+20    6.101e+03    1.120e-04    7.036e-12    2.985e-02    9.378e-10
   1.114e+20    6.213e+03    1.400e-04    2.764e-11    3.307e-02    3.266e-09
   1.114e+20    6.326e+03    1.743e-04    6.755e-12    3.657e-02    7.089e-10
   1.114e+20    6.442e+03    2.163e-04    7.064e-12    4.038e-02    6.597e-10
   1.114e+20    6.560e+03    2.676e-04    2.775e-11    4.450e-02    2.309e-09
   1.114e+20    6.679e+03    3.298e-04    6.837e-12    4.897e-02    5.081e-10
   1.114e+20    6.801e+03    4.052e-04    7.183e-12    5.380e-02    4.774e-10
   1.114e+20    6.926e+03    4.963e-04    6.674e-12    5.901e-02    3.973e-10
   1.114e+20    7.052e+03    6.058e-04    7.027e-12    6.462e-02    3.754e-10
   1.114e+20    7.181e+03    7.373e-04    2.753e-11    7.066e-02    1.322e-09
   1.114e+20    7.312e+03    8.947e-04    6.898e-12    7.715e-02    2.982e-10
   1.114e+20    7.445e+03    1.082e-03    7.299e-12    8.412e-02    2.845e-10
   1.114e+20    7.581e+03    1.306e-03    6.811e-12    9.159e-02    2.398e-10
   1.114e+20    7.720e+03    1.571e-03    7.224e-12    9.958e-02    2.301e-10
   1.114e+20    7.861e+03    1.884e-03    2.569e-11    1.081e-01    7.416e-10
   1.114e+20    8.004e+03    2.253e-03    7.260e-12    1.173e-01    1.902e-10
   1.114e+20    8.151e+03    2.688e-03    2.798e-11    1.270e-01    6.663e-10
   1.114e+20    8.300e+03    3.199e-03    7.270e-12    1.374e-01    1.576e-10
   1.114e+20    8.451e+03    3.796e-03    2.777e-11    1.485e-01    5.492e-10
   1.114e+20    8.605e+03    4.494e-03    7.324e-12    1.602e-01    1.323e-10
   1.114e+20    8.763e+03    5.307e-03    2.765e-11    1.728e-01    4.572e-10
   1.114e+20    8.923e+03    6.251e-03    7.425e-12    1.861e-01    1.126e-10
   1.114e+20    9.086e+03    7.345e-03    2.761e-11    2.002e-01    3.846e-10
   1.114e+20    9.252e+03    8.611e-03    7.860e-12    2.153e-01    1.007e-10
   1.114e+20    9.421e+03    1.007e-02    9.772e-12    2.312e-01    1.155e-10
   1.114e+20    9.593e+03    1.175e-02    1.067e-11    2.481e-01    1.166e-10
   1.114e+20    9.768e+03    1.369e-02    4.439e-11    2.661e-01    4.491e-10
   1.114e+20    9.946e+03    1.590e-02    1.526e-11    2.852e-01    1.433e-10
   1.114e+20    1.013e+04    1.843e-02    1.706e-11    3.054e-01    1.490e-10
   1.114e+20    1.031e+04    2.132e-02    1.920e-11    3.269e-01    1.564e-10
   1.114e+20    1.050e+04    2.462e-02    2.178e-11    3.498e-01    1.659e-10
   1.114e+20    1.069e+04    2.836e-02    8.787e-11    3.741e-01    6.275e-10
   1.114e+20    1.089e+04    3.261e-02    9.932e-11    4.000e-01    6.669e-10
   1.114e+20    1.109e+04    3.742e-02    3.348e-11    4.276e-01    2.120e-10
   1.114e+20    1.129e+04    4.286e-02    3.944e-11    4.571e-01    2.362e-10
   1.114e+20    1.150e+04    4.900e-02    4.702e-11    4.886e-01    2.672e-10
   1.114e+20    1.171e+04    5.592e-02    5.680e-11    5.224e-01    3.074e-10
   1.114e+20    1.192e+04    6.370e-02    6.963e-11    5.586e-01    3.602e-10
   1.114e+20    1.214e+04    7.244e-02    1.834e-10    5.976e-01    9.096e-10
   1.114e+20    1.236e+04    8.224e-02    7.942e-11    6.397e-01    3.793e-10
   1.114e+20    1.258e+04    9.322e-02    1.002e-10    6.852e-01    4.623e-10
   1.114e+20    1.281e+04    1.055e-01    1.287e-10    7.346e-01    5.765e-10
   1.114e+20    1.305e+04    1.192e-01    2.743e-10    7.884e-01    1.197e-09
   1.114e+20    1.329e+04    1.345e-01    1.531e-10    8.470e-01    6.534e-10
   1.114e+20    1.353e+04    1.516e-01    2.037e-10    9.113e-01    8.540e-10
   1.114e+20    1.378e+04    1.707e-01    3.473e-10    9.820e-01    1.436e-09
   1.114e+20    1.403e+04    1.919e-01    2.494e-10    1.060e+00    1.022e-09
   1.114e+20    1.428e+04    2.155e-01    3.504e-10    1.146e+00    1.428e-09
   1.114e+20    1.455e+04    2.417e-01    4.331e-10    1.242e+00    1.763e-09
   1.114e+20    1.481e+04    2.708e-01    4.306e-10    1.349e+00    1.759e-09
   1.114e+20    1.508e+04    3.031e-01    4.124e-10    1.469e+00    1.697e-09
   1.114e+20    1.536e+04    3.389e-01    5.384e-10    1.603e+00    2.240e-09
   1.114e+20    1.564e+04    3.782e-01    3.580e-10    1.753e+00    1.512e-09
   1.114e+20    1.592e+04    4.211e-01    4.013e-10    1.919e+00    1.727e-09
   1.114e+20    1.621e+04    4.673e-01    4.264e-10    2.102e+00    1.875e-09
   1.114e+20    1.651e+04    5.160e-01    2.386e-10    2.299e+00    1.074e-09
   1.114e+20    1.681e+04    5.658e-01    1.790e-10    2.504e+00    8.255e-10
   1.114e+20    1.712e+04    6.146e-01    6.019e-11    2.708e+00    2.840e-10
   1.114e+20    1.743e+04    6.604e-01    1.339e-10    2.901e+00    6.450e-10
   1.114e+20    1.775e+04    7.016e-01    4.230e-10    3.074e+00    2.073e-09
   1.114e+20    1.807e+04    7.378e-01    1.330e-09    3.224e+00    6.608e-09
   1.114e+20    1.840e+04    7.689e-01    1.139e-09    3.349e+00    5.716e-09
   1.114e+20    1.874e+04    7.955e-01    7.921e-10    3.453e+00    4.004e-09
   1.114e+20    1.908e+04    8.183e-01    2.101e-09    3.536e+00    1.067e-08
   1.114e+20    1.943e+04    8.378e-01    5.056e-10    3.603e+00    2.574e-09
   1.114e+20    1.979e+04    8.547e-01    1.548e-09    3.656e+00    7.887e-09
   1.114e+20    2.015e+04    8.693e-01    1.423e-09    3.698e+00    7.248e-09
   1.114e+20    2.051e+04    8.821e-01    5.299e-10    3.729e+00    2.695e-09
   1.114e+20    2.089e+04    8.933e-01    8.305e-09    3.752e+00    4.214e-08
   1.114e+20    2.127e+04    9.032e-01    5.684e-09    3.768e+00    2.874e-08
   1.114e+20    2.166e+04    9.120e-01    8.254e-09    3.779e+00    4.157e-08
   1.114e+20    2.205e+04    9.198e-01    7.042e-09    3.784e+00    3.530e-08
   1.114e+20    2.246e+04    9.268e-01    8.166e-09    3.784e+00    4.073e-08
   1.114e+20    2.287e+04    9.330e-01    9.979e-09    3.781e+00    4.950e-08
   1.114e+20    2.329e+04    9.387e-01    7.963e-09    3.775e+00    3.927e-08
   1.114e+20    2.371e+04    9.438e-01    6.914e-09    3.766e+00    3.389e-08
   1.114e+20    2.414e+04    9.484e-01    1.002e-08    3.754e+00    4.881e-08
   1.114e+20    2.458e+04    9.525e-01    7.637e-09    3.741e+00    3.694e-08
   1.114e+20    2.503e+04    9.563e-01    4.626e-09    3.725e+00    2.222e-08
   1.114e+20    2.549e+04    9.597e-01    5.737e-09    3.708e+00    2.736e-08
   1.114e+20    2.596e+04    9.629e-01    4.875e-09    3.689e+00    2.308e-08
   1.114e+20    2.643e+04    9.657e-01    8.208e-09    3.670e+00    3.858e-08
   1.114e+20    2.691e+04    9.684e-01    9.573e-11    3.649e+00    4.465e-10
   1.114e+20    2.740e+04    9.707e-01    4.750e-10    3.627e+00    2.198e-09
   1.114e+20    2.790e+04    9.729e-01    1.160e-09    3.604e+00    5.329e-09
   1.114e+20    2.841e+04    9.749e-01    1.145e-09    3.581e+00    5.215e-09
   1.114e+20    2.893e+04    9.768e-01    9.050e-10    3.557e+00    4.090e-09
   1.114e+20    2.946e+04    9.785e-01    6.933e-09    3.533e+00    3.108e-08
   1.114e+20    3.000e+04    9.800e-01    6.103e-09    3.508e+00    2.714e-08
   1.181e+20    5.000e+03    7.252e-06    2.771e-11    8.634e-03    1.650e-08
   1.181e+20    5.091e+03    9.472e-06    6.616e-12    9.779e-03    3.416e-09
   1.181e+20    5.184e+03    1.232e-05    6.781e-12    1.105e-02    3.042e-09
   1.181e+20    5.279e+03    1.595e-05    6.965e-12    1.246e-02    2.721e-09
   1.181e+20    5.375e+03    2.056e-05    7.170e-12    1.402e-02    2.445e-09
   1.181e+20    5.474e+03    2.640e-05    2.786e-11    1.575e-02    8.308e-09
   1.181e+20    5.574e+03    3.376e-05    6.727e-12    1.765e-02    1.758e-09
   1.181e+20    5.675e+03    4.300e-05    6.959e-12    1.974e-02    1.597e-09
   1.181e+20    5.779e+03    5.455e-05    7.215e-12    2.203e-02    1.457e-09
   1.181e+20    5.885e+03    6.894e-05    6.599e-12    2.454e-02    1.175e-09
   1.181e+20    5.992e+03    8.679e-05    6.857e-12    2.729e-02    1.078e-09
   1.181e+20    6.101e+03    1.089e-04    7.142e-12    3.029e-02    9.938e-10
   1.181e+20    6.213e+03    1.361e-04    2.791e-11    3.356e-02    3.444e-09
   1.181e+20    6.326e+03    1.695e-04    6.857e-12    3.712e-02    7.513e-10
   1.181e+20    6.442e+03    2.103e-04    7.174e-12    4.098e-02    6.994e-10
   1.181e+20    6.560e+03    2.601e-04    2.802e-11    4.517e-02    2.435e-09
   1.181e+20    6.679e+03    3.206e-04    6.945e-12    4.970e-02    5.388e-10
   1.181e+20    6.801e+03    3.939e-04    7.300e-12    5.460e-02    5.064e-10
   1.181e+20    6.926e+03    4.825e-04    6.781e-12    5.989e-02    4.215e-10
   1.181e+20    7.052e+03    5.890e-04    7.144e-12    6.558e-02    3.984e-10
   1.181e+20    7.181e+03    7.170e-04    2.779e-11    7.172e-02    1.393e-09
   1.181e+20    7.312e+03    8.700e-04    7.017e-12    7.831e-02    3.166e-10
   1.181e+20    7.445e+03    1.053e-03    7.429e-12    8.538e-02    3.023e-10
   1.181e+20    7.581e+03    1.270e-03    6.933e-12    9.297e-02    2.548e-10
   1.181e+20    7.720e+03    1.528e-03    7.358e-12    1.011e-01    2.446e-10
   1.181e+20    7.861e+03    1.832e-03    6.890e-12    1.098e-01    2.075e-10
   1.181e+20    8.004e+03    2.192e-03    7.401e-12    1.190e-01    2.023e-10
   1.181e+20    8.151e+03    2.615e-03    6.950e-12    1.289e-01    1.727e-10
   1.181e+20    8.300e+03    3.112e-03    7.419e-12    1.395e-01    1.678e-10
   1.181e+20    8.451e+03    3.694e-03    2.799e-11    1.507e-01    5.774e-10
   1.181e+20    8.605e+03    4.373e-03    7.482e-12    1.627e-01    1.410e-10
   1.181e+20    8.763e+03    5.165e-03    2.786e-11    1.754e-01    4.804e-10
   1.181e+20    8.923e+03    6.084e-03    7.596e-12    1.889e-01    1.201e-10
   1.181e+20    9.086e+03    7.151e-03    2.781e-11    2.033e-01    4.037e-10
   1.181e+20    9.252e+03    8.384e-03    8.054e-12    2.186e-01    1.076e-10
   1.181e+20    9.421e+03    9.808e-03    3.305e-11    2.347e-01    4.070e-10
   1.181e+20    9.593e+03    1.145e-02    1.097e-11    2.519e-01    1.248e-10
   1.181e+20    9.768e+03    1.333e-02    1.206e-11    2.702e-01    1.270e-10
   1.181e+20    9.946e+03    1.549e-02    1.575e-11    2.895e-01    1.539e-10
   1.181e+20    1.013e+04    1.796e-02    1.763e-11    3.101e-01    1.602e-10
   1.181e+20    1.031e+04    2.078e-02    1.987e-11    3.319e-01    1.684e-10
   1.181e+20    1.050e+04    2.399e-02    2.258e-11    3.551e-01    1.788e-10
   1.181e+20    1.069e+04    2.765e-02    2.586e-11    3.798e-01    1.920e-10
   1.181e+20    1.089e+04    3.180e-02    2.989e-11    4.061e-01    2.085e-10
   1.181e+20    1.109e+04    3.650e-02    3.490e-11    4.341e-01    2.295e-10
   1.181e+20    1.129e+04    4.181e-02    4.119e-11    4.640e-01    2.561e-10
   1.181e+20    1.150e+04    4.781e-02    4.922e-11    4.959e-01    2.902e-10
   1.181e+20    1.171e+04    5.458e-02    5.959e-11    5.302e-01    3.344e-10
   1.181e+20    1.192e+04    6.219e-02    1.576e-10    5.669e-01    8.446e-10
   1.181e+20    1.214e+04    7.074e-02    1.857e-10    6.064e-01    9.536e-10
   1.181e+20    1.236e+04    8.033e-02    8.370e-11    6.491e-01    4.136e-10
   1.181e+20    1.258e+04    9.109e-02    1.058e-10    6.952e-01    5.050e-10
   1.181e+20    1.281e+04    1.031e-01    2.292e-10    7.452e-01    1.060e-09
   1.181e+20    1.305e+04    1.166e-01    1.244e-10    7.996e-01    5.604e-10
   1.181e+20    1.329e+04    1.316e-01    1.625e-10    8.590e-01    7.153e-10
   1.181e+20    1.353e+04    1.484e-01    2.856e-10    9.241e-01    1.234e-09
   1.181e+20    1.378e+04    1.671e-01    1.966e-10    9.957e-01    8.373e-10
   1.181e+20    1.403e+04    1.880e-01    2.659e-10    1.075e+00    1.121e-09
   1.181e+20    1.428e+04    2.112e-01    3.532e-10    1.162e+00    1.480e-09
   1.181e+20    1.455e+04    2.371e-01    3.299e-10    1.260e+00    1.380e-09
   1.181e+20    1.481e+04    2.660e-01    4.614e-10    1.369e+00    1.935e-09
   1.181e+20    1.508e+04    2.980e-01    4.133e-10    1.490e+00    1.745e-09
   1.181e+20    1.536e+04    3.336e-01    5.781e-10    1.627e+00    2.468e-09
   1.181e+20    1.564e+04    3.729e-01    3.548e-10    1.781e+00    1.538e-09
   1.181e+20    1.592e+04    4.160e-01    3.947e-10    1.953e+00    1.743e-09
   1.181e+20    1.621e+04    4.627e-01    9.896e-10    2.142e+00    4.466e-09
   1.181e+20    1.651e+04    5.122e-01    2.222e-10    2.348e+00    1.027e-09
   1.181e+20    1.681e+04    5.630e-01    1.516e-10    2.564e+00    7.180e-10
   1.181e+20    1.712e+04    6.130e-01    1.739e-11    2.780e+00    8.438e-11
   1.181e+20    1.743e+04    6.599e-01    1.943e-10    2.983e+00    9.632e-10
   1.181e+20    1.775e+04    7.020e-01    5.007e-10    3.166e+00    2.526e-09
   1.181e+20    1.807e+04    7.387e-01    1.288e-09    3.323e+00    6.591e-09
   1.181e+20    1.840e+04    7.700e-01    1.072e-09    3.453e+00    5.542e-09
   1.181e+20    1.874e+04    7.967e-01    7.012e-10    3.560e+00    3.651e-09
   1.181e+20    1.908e+04    8.194e-01    2.176e-09    3.646e+00    1.138e-08
   1.181e+20    1.943e+04    8.388e-01    5.825e-10    3.714e+00    3.054e-09
   1.181e+20    1.979e+04    8.555e-01    1.637e-09    3.768e+00    8.594e-09
   1.181e+20    2.015e+04    8.700e-01    1.242e-09    3.810e+00    6.517e-09
   1.181e+20    2.051e+04    8.826e-01    1.595e-10    3.841e+00    8.353e-10
   1.181e+20    2.089e+04    8.937e-01    4.979e-09    3.864e+00    2.601e-08
   1.181e+20    2.127e+04    9.034e-01    5.838e-09    3.880e+00    3.039e-08
   1.181e+20    2.166e+04    9.121e-01    8.264e-09    3.890e+00    4.284e-08
   1.181e+20    2.205e+04    9.198e-01    6.662e-09    3.895e+00    3.438e-08
   1.181e+20    2.246e+04    9.267e-01    7.999e-09    3.895e+00    4.107e-08
   1.181e+20    2.287e+04    9.329e-01    7.266e-09    3.892e+00    3.710e-08
   1.181e+20    2.329e+04    9.385e-01    7.574e-09    3.885e+00    3.844e-08
   1.181e+20    2.371e+04    9.435e-01    6.968e-09    3.875e+00    3.515e-08
   1.181e+20    2.414e+04    9.481e-01    9.938e-09    3.863e+00    4.981e-08
   1.181e+20    2.458e+04    9.522e-01    7.489e-09    3.849e+00    3.728e-08
   1.181e+20    2.503e+04    9.560e-01    4.304e-09    3.833e+00    2.128e-08
   1.181e+20    2.549e+04    9.594e-01    1.033e-08    3.815e+00    5.070e-08
   1.181e+20    2.596e+04    9.625e-01    3.540e-09    3.796e+00    1.725e-08
   1.181e+20    2.643e+04    9.654e-01    4.824e-09    3.775e+00    2.333e-08
   1.181e+20    2.691e+04    9.680e-01    1.535e-09    3.754e+00    7.370e-09
   1.181e+20    2.740e+04    9.704e-01    8.762e-10    3.731e+00    4.174e-09
   1.181e+20    2.790e+04    9.726e-01    1.425e-09    3.708e+00    6.733e-09
   1.181e+20    2.841e+04    9.746e-01    1.049e-09    3.684e+00    4.919e-09
   1.181e+20    2.893e+04    9.764e-01    8.445e-10    3.660e+00    3.928e-09
   1.181e+20    2.946e+04    9.781e-01    7.039e-09    3.634e+00    3.248e-08
   1.181e+20    3.000e+04    9.797e-01    6.297e-09    3.609e+00    2.882e-08
   1.251e+20    5.000e+03    7.046e-06    2.800e-11    8.761e-03    1.741e-08
   1.251e+20    5.091e+03    9.204e-06    6.721e-12    9.923e-03    3.623e-09
   1.251e+20    5.184e+03    1.197e-05    6.888e-12    1.121e-02    3.227e-09
   1.251e+20    5.279e+03    1.550e-05    7.076e-12    1.265e-02    2.887e-09
   1.251e+20    5.375e+03    1.998e-05    7.286e-12    1.423e-02    2.594e-09
   1.251e+20    5.474e+03    2.566e-05    6.619e-12    1.598e-02    2.061e-09
   1.251e+20    5.574e+03    3.281e-05    6.834e-12    1.791e-02    1.865e-09
   1.251e+20    5.675e+03    4.179e-05    7.071e-12    2.003e-02    1.695e-09
   1.251e+20    5.779e+03    5.301e-05    2.739e-11    2.235e-02    5.777e-09
   1.251e+20    5.885e+03    6.700e-05    6.705e-12    2.490e-02    1.246e-09
   1.251e+20    5.992e+03    8.435e-05    6.970e-12    2.769e-02    1.144e-09
   1.251e+20    6.101e+03    1.058e-04    7.261e-12    3.074e-02    1.055e-09
   1.251e+20    6.213e+03    1.322e-04    6.678e-12    3.406e-02    8.602e-10
   1.251e+20    6.326e+03    1.647e-04    6.973e-12    3.767e-02    7.977e-10
   1.251e+20    6.442e+03    2.044e-04    7.298e-12    4.159e-02    7.428e-10
   1.251e+20    6.560e+03    2.528e-04    6.737e-12    4.584e-02    6.112e-10
   1.251e+20    6.679e+03    3.117e-04    7.067e-12    5.044e-02    5.724e-10
   1.251e+20    6.801e+03    3.830e-04    2.735e-11    5.541e-02    1.981e-09
   1.251e+20    6.926e+03    4.691e-04    6.304e-12    6.078e-02    4.090e-10
   1.251e+20    7.052e+03    5.727e-04    7.277e-12    6.657e-02    4.236e-10
   1.251e+20    7.181e+03    6.971e-04    6.769e-12    7.279e-02    3.542e-10
   1.251e+20    7.312e+03    8.460e-04    7.152e-12    7.948e-02    3.368e-10
   1.251e+20    7.445e+03    1.024e-03    2.743e-11    8.667e-02    1.165e-09
   1.251e+20    7.581e+03    1.235e-03    7.072e-12    9.437e-02    2.712e-10
   1.251e+20    7.720e+03    1.486e-03    7.511e-12    1.026e-01    2.605e-10
   1.251e+20    7.861e+03    1.782e-03    7.034e-12    1.114e-01    2.210e-10
   1.251e+20    8.004e+03    2.133e-03    7.563e-12    1.208e-01    2.156e-10
   1.251e+20    8.151e+03    2.545e-03    7.103e-12    1.309e-01    1.841e-10
   1.251e+20    8.300e+03    3.028e-03    7.589e-12    1.416e-01    1.790e-10
   1.251e+20    8.451e+03    3.595e-03    7.152e-12    1.530e-01    1.539e-10
   1.251e+20    8.605e+03    4.256e-03    7.664e-12    1.652e-01    1.506e-10
   1.251e+20    8.763e+03    5.027e-03    7.246e-12    1.781e-01    1.303e-10
   1.251e+20    8.923e+03    5.923e-03    7.791e-12    1.918e-01    1.284e-10
   1.251e+20    9.086e+03    6.961e-03    7.391e-12    2.064e-01    1.119e-10
   1.251e+20    9.252e+03    8.163e-03    8.276e-12    2.219e-01    1.152e-10
   1.251e+20    9.421e+03    9.551e-03    8.978e-12    2.384e-01    1.152e-10
   1.251e+20    9.593e+03    1.115e-02    1.131e-11    2.558e-01    1.340e-10
   1.251e+20    9.768e+03    1.298e-02    1.245e-11    2.743e-01    1.365e-10
   1.251e+20    9.946e+03    1.509e-02    4.914e-11    2.940e-01    5.000e-10
   1.251e+20    1.013e+04    1.750e-02    1.827e-11    3.149e-01    1.729e-10
   1.251e+20    1.031e+04    2.025e-02    2.063e-11    3.370e-01    1.819e-10
   1.251e+20    1.050e+04    2.339e-02    2.348e-11    3.606e-01    1.934e-10
   1.251e+20    1.069e+04    2.696e-02    2.694e-11    3.856e-01    2.079e-10
   1.251e+20    1.089e+04    3.101e-02    3.120e-11    4.123e-01    2.261e-10
   1.251e+20    1.109e+04    3.560e-02    3.650e-11    4.407e-01    2.492e-10
   1.251e+20    1.129e+04    4.079e-02    4.317e-11    4.710e-01    2.785e-10
   1.251e+20    1.150e+04    4.665e-02    5.168e-11    5.034e-01    3.161e-10
   1.251e+20    1.171e+04    5.327e-02    1.366e-10    5.381e-01    7.948e-10
   1.251e+20    1.192e+04    6.071e-02    1.592e-10    5.754e-01    8.840e-10
   1.251e+20    1.214e+04    6.908e-02    7.103e-11    6.154e-01    3.778e-10
   1.251e+20    1.236e+04    7.847e-02    8.849e-11    6.586e-01    4.524e-10
   1.251e+20    1.258e+04    8.901e-02    1.122e-10    7.053e-01    5.534e-10
   1.251e+20    1.281e+04    1.008e-01    2.313e-10    7.560e-01    1.106e-09
   1.251e+20    1.305e+04    1.140e-01    1.321e-10    8.111e-01    6.142e-10
   1.251e+20    1.329e+04    1.288e-01    1.730e-10    8.713e-01    7.855e-10
   1.251e+20    1.353e+04    1.452e-01    2.877e-10    9.372e-01    1.281e-09
   1.251e+20    1.378e+04    1.637e-01    2.096e-10    1.010e+00    9.195e-10
   1.251e+20    1.403e+04    1.842e-01    2.843e-10    1.090e+00    1.233e-09
   1.251e+20    1.428e+04    2.071e-01    3.545e-10    1.179e+00    1.528e-09
   1.251e+20    1.455e+04    2.327e-01    3.532e-10    1.278e+00    1.519e-09
   1.251e+20    1.481e+04    2.612e-01    3.413e-10    1.388e+00    1.470e-09
   1.251e+20    1.508e+04    2.930e-01    4.114e-10    1.513e+00    1.784e-09
   1.251e+20    1.536e+04    3.284e-01    6.223e-10    1.652e+00    2.727e-09
   1.251e+20    1.564e+04    3.677e-01    3.480e-10    1.810e+00    1.547e-09
   1.251e+20    1.592e+04    4.110e-01    3.830e-10    1.987e+00    1.735e-09
   1.251e+20    1.621e+04    4.582e-01    1.072e-09    2.185e+00    4.964e-09
   1.251e+20    1.651e+04    5.086e-01    1.997e-10    2.400e+00    9.476e-10
   1.251e+20    1.681e+04    5.606e-01    1.157e-10    2.628e+00    5.632e-10
   1.251e+20    1.712e+04    6.120e-01    3.604e-11    2.856e+00    1.799e-10
   1.251e+20    1.743e+04    6.601e-01    2.665e-10    3.072e+00    1.360e-09
   1.251e+20    1.775e+04    7.030e-01    1.375e-09    3.264e+00    7.143e-09
   1.251e+20    1.807e+04    7.402e-01    1.227e-09    3.428e+00    6.468e-09
   1.251e+20    1.840e+04    7.717e-01    9.845e-10    3.564e+00    5.244e-09
   1.251e+20    1.874e+04    7.983e-01    5.891e-10    3.673e+00    3.160e-09
   1.251e+20    1.908e+04    8.209e-01    7.387e-11    3.761e+00    3.981e-10
   1.251e+20    1.943e+04    8.401e-01    1.588e-09    3.830e+00    8.580e-09
   1.251e+20    1.979e+04    8.566e-01    4.884e-10    3.885e+00    2.640e-09
   1.251e+20    2.015e+04    8.709e-01    1.004e-09    3.927e+00    5.426e-09
   1.251e+20    2.051e+04    8.833e-01    3.563e-10    3.958e+00    1.921e-09
   1.251e+20    2.089e+04    8.943e-01    7.685e-09    3.981e+00    4.133e-08
   1.251e+20    2.127e+04    9.039e-01    6.077e-09    3.997e+00    3.257e-08
   1.251e+20    2.166e+04    9.124e-01    8.293e-09    4.006e+00    4.426e-08
   1.251e+20    2.205e+04    9.200e-01    6.345e-09    4.010e+00    3.371e-08
   1.251e+20    2.246e+04    9.268e-01    7.795e-09    4.010e+00    4.120e-08
   1.251e+20    2.287e+04    9.329e-01    6.995e-09    4.006e+00    3.676e-08
   1.251e+20    2.329e+04    9.384e-01    6.930e-09    3.999e+00    3.621e-08
   1.251e+20    2.371e+04    9.434e-01    9.168e-09    3.988e+00    4.760e-08
   1.251e+20    2.414e+04    9.479e-01    9.797e-09    3.976e+00    5.054e-08
   1.251e+20    2.458e+04    9.520e-01    7.264e-09    3.961e+00    3.722e-08
