# Intensity presumably normlized s.t. at t=0, max(I(r))=100
# This is I at t = 8 [ns]
r[μm]     I[arb]
-9.959e+1 2.458e+0
-9.784e+1 2.606e+0
-9.608e+1 2.710e+0
-9.433e+1 2.884e+0
-9.257e+1 3.091e+0
-9.081e+1 3.240e+0
-8.906e+1 3.324e+0
-8.730e+1 3.517e+0
-8.555e+1 3.640e+0
-8.379e+1 3.808e+0
-8.204e+1 3.976e+0
-8.028e+1 4.047e+0
-7.853e+1 4.247e+0
-7.677e+1 4.545e+0
-7.502e+1 4.654e+0
-7.326e+1 4.687e+0
-7.151e+1 4.874e+0
-6.975e+1 4.990e+0
-6.800e+1 5.216e+0
-6.624e+1 5.494e+0
-6.449e+1 5.669e+0
-6.273e+1 5.682e+0
-6.098e+1 5.908e+0
-5.922e+1 6.147e+0
-5.747e+1 6.353e+0
-5.571e+1 6.431e+0
-5.396e+1 6.567e+0
-5.220e+1 6.877e+0
-5.045e+1 7.393e+0
-4.869e+1 7.607e+0
-4.694e+1 7.775e+0
-4.518e+1 7.936e+0
-4.342e+1 8.382e+0
-4.167e+1 8.782e+0
-3.991e+1 9.480e+0
-3.816e+1 1.019e+1
-3.635e+1 1.113e+1
-3.461e+1 1.187e+1
-3.289e+1 1.310e+1
-3.120e+1 1.376e+1
-2.952e+1 1.478e+1
-2.762e+1 1.671e+1
-2.664e+1 1.819e+1
-2.578e+1 1.989e+1
-2.484e+1 2.158e+1
-2.394e+1 2.320e+1
-2.298e+1 2.485e+1
-2.216e+1 2.636e+1
-2.106e+1 2.790e+1
-1.995e+1 2.955e+1
-1.916e+1 3.115e+1
-1.833e+1 3.283e+1
-1.735e+1 3.443e+1
-1.657e+1 3.637e+1
-1.588e+1 3.822e+1
-1.505e+1 4.006e+1
-1.434e+1 4.198e+1
-1.363e+1 4.393e+1
-1.215e+1 4.501e+1
-1.083e+1 4.656e+1
-9.056e+0 4.750e+1
-8.056e+0 4.936e+1
-7.454e+0 5.123e+1
-6.586e+0 5.278e+1
-5.266e+0 5.414e+1
-4.110e+0 5.548e+1
-2.479e+0 5.616e+1
-1.572e+0 5.810e+1
5.551e-2 5.797e+1
1.775e+0 5.925e+1
3.540e+0 5.964e+1
4.967e+0 5.884e+1
6.390e+0 5.915e+1
6.958e+0 5.747e+1
7.537e+0 5.590e+1
8.413e+0 5.434e+1
9.740e+0 5.362e+1
1.147e+1 5.344e+1
1.201e+1 5.167e+1
1.279e+1 5.030e+1
1.428e+1 5.073e+1
1.539e+1 4.927e+1
1.604e+1 4.747e+1
1.759e+1 4.748e+1
1.892e+1 4.740e+1
1.935e+1 4.583e+1
1.994e+1 4.429e+1
2.071e+1 4.257e+1
2.133e+1 4.092e+1
2.232e+1 3.937e+1
2.351e+1 3.767e+1
2.443e+1 3.537e+1
2.586e+1 3.374e+1
2.724e+1 3.229e+1
2.820e+1 3.020e+1
2.872e+1 2.863e+1
2.975e+1 2.714e+1
3.071e+1 2.534e+1
3.166e+1 2.355e+1
3.262e+1 2.191e+1
3.364e+1 2.031e+1
3.462e+1 1.892e+1
3.577e+1 1.756e+1
3.715e+1 1.602e+1
3.852e+1 1.496e+1
4.035e+1 1.408e+1
4.154e+1 1.287e+1
4.321e+1 1.215e+1
4.496e+1 1.150e+1
4.658e+1 1.076e+1
4.847e+1 1.029e+1
5.022e+1 9.713e+0
5.198e+1 9.299e+0
5.379e+1 8.891e+0
5.549e+1 8.369e+0
5.724e+1 8.291e+0
5.900e+1 7.994e+0
6.075e+1 7.762e+0
6.250e+1 7.549e+0
6.426e+1 7.303e+0
6.601e+1 6.909e+0
6.777e+1 6.799e+0
6.952e+1 6.573e+0
7.128e+1 6.244e+0
7.303e+1 6.024e+0
7.479e+1 5.908e+0
7.654e+1 5.798e+0
7.829e+1 5.753e+0
8.005e+1 5.598e+0
8.180e+1 5.410e+0
8.356e+1 5.191e+0
8.531e+1 4.990e+0
8.707e+1 4.900e+0
8.882e+1 4.784e+0
9.058e+1 4.577e+0
9.233e+1 4.396e+0
9.409e+1 4.189e+0
9.584e+1 4.092e+0
9.760e+1 3.924e+0
9.935e+1 3.769e+0
1.005e+2 3.585e+0
