# Intensity presumably normlized s.t. at t=0, max(I(r))=100
# This is I at t = 4 [ns]
r[μm]     I[arb]
-9.943e+1 2.981e+0
-9.767e+1 3.181e+0
-9.592e+1 3.362e+0
-9.416e+1 3.582e+0
-9.241e+1 3.731e+0
-9.065e+1 3.847e+0
-8.890e+1 4.021e+0
-8.714e+1 4.273e+0
-8.539e+1 4.461e+0
-8.363e+1 4.693e+0
-8.188e+1 4.803e+0
-8.012e+1 5.042e+0
-7.837e+1 5.320e+0
-7.661e+1 5.598e+0
-7.486e+1 5.753e+0
-7.310e+1 5.862e+0
-7.135e+1 5.933e+0
-6.959e+1 6.043e+0
-6.784e+1 6.347e+0
-6.608e+1 6.747e+0
-6.433e+1 6.825e+0
-6.257e+1 7.116e+0
-6.082e+1 7.232e+0
-5.906e+1 7.581e+0
-5.731e+1 7.671e+0
-5.555e+1 7.788e+0
-5.379e+1 8.130e+0
-5.204e+1 8.576e+0
-5.028e+1 8.957e+0
-4.853e+1 9.377e+0
-4.677e+1 9.874e+0
-4.502e+1 1.018e+1
-4.326e+1 1.060e+1
-4.151e+1 1.084e+1
-3.982e+1 1.146e+1
-3.799e+1 1.271e+1
-3.622e+1 1.344e+1
-3.462e+1 1.451e+1
-3.266e+1 1.532e+1
-3.099e+1 1.603e+1
-2.928e+1 1.739e+1
-2.780e+1 1.909e+1
-2.649e+1 2.095e+1
-2.593e+1 2.287e+1
-2.529e+1 2.459e+1
-2.456e+1 2.652e+1
-2.390e+1 2.830e+1
-2.337e+1 2.989e+1
-2.263e+1 3.151e+1
-2.148e+1 3.298e+1
-2.059e+1 3.459e+1
-2.008e+1 3.637e+1
-1.973e+1 3.801e+1
-1.936e+1 3.979e+1
-1.864e+1 4.151e+1
-1.808e+1 4.342e+1
-1.758e+1 4.532e+1
-1.724e+1 4.727e+1
-1.690e+1 4.921e+1
-1.655e+1 5.095e+1
-1.589e+1 5.278e+1
-1.524e+1 5.445e+1
-1.488e+1 5.600e+1
-1.431e+1 5.785e+1
-1.371e+1 5.982e+1
-1.269e+1 6.155e+1
-1.210e+1 6.329e+1
-1.143e+1 6.503e+1
-9.769e+0 6.551e+1
-8.299e+0 6.769e+1
-8.785e+0 6.548e+1
-7.594e+0 6.996e+1
-6.675e+0 7.142e+1
-5.268e+0 7.273e+1
-3.542e+0 7.384e+1
-2.864e+0 7.609e+1
-1.960e+0 7.791e+1
-2.922e-1 7.804e+1
-3.809e-1 7.637e+1
1.418e+0 7.956e+1
1.138e+0 7.742e+1
2.566e+0 7.948e+1
2.743e+0 7.790e+1
3.107e+0 7.591e+1
3.912e+0 7.396e+1
5.458e+0 7.353e+1
5.935e+0 7.188e+1
6.312e+0 7.009e+1
6.694e+0 6.839e+1
7.154e+0 6.682e+1
7.771e+0 6.521e+1
9.218e+0 6.515e+1
9.987e+0 6.606e+1
1.102e+1 6.433e+1
1.140e+1 6.203e+1
1.215e+1 6.067e+1
1.378e+1 6.163e+1
1.471e+1 5.963e+1
1.521e+1 5.773e+1
1.474e+1 6.196e+1
1.621e+1 5.686e+1
1.785e+1 5.695e+1
1.861e+1 5.518e+1
1.903e+1 5.357e+1
1.973e+1 5.192e+1
2.042e+1 5.019e+1
2.107e+1 4.867e+1
2.220e+1 4.727e+1
2.317e+1 4.577e+1
2.413e+1 4.411e+1
2.522e+1 4.263e+1
2.602e+1 4.079e+1
2.647e+1 3.927e+1
2.704e+1 3.780e+1
2.770e+1 3.607e+1
2.831e+1 3.426e+1
2.898e+1 3.249e+1
2.967e+1 3.092e+1
3.093e+1 2.953e+1
3.199e+1 2.766e+1
3.288e+1 2.575e+1
3.377e+1 2.371e+1
3.465e+1 2.203e+1
3.588e+1 2.031e+1
3.726e+1 1.884e+1
3.876e+1 1.796e+1
3.986e+1 1.678e+1
4.125e+1 1.599e+1
4.200e+1 1.459e+1
4.337e+1 1.389e+1
4.513e+1 1.401e+1
4.688e+1 1.335e+1
4.863e+1 1.257e+1
5.039e+1 1.182e+1
5.214e+1 1.138e+1
5.394e+1 1.067e+1
5.533e+1 1.007e+1
5.708e+1 1.013e+1
5.884e+1 9.680e+0
6.059e+1 9.525e+0
6.235e+1 9.144e+0
6.410e+1 8.937e+0
6.586e+1 8.582e+0
6.762e+1 8.406e+0
6.936e+1 7.975e+0
7.112e+1 7.536e+0
7.287e+1 7.387e+0
7.463e+1 7.200e+0
7.638e+1 6.922e+0
7.814e+1 6.819e+0
7.989e+1 6.722e+0
8.165e+1 6.508e+0
8.340e+1 6.198e+0
8.516e+1 5.875e+0
8.691e+1 5.888e+0
8.866e+1 5.753e+0
9.042e+1 5.462e+0
9.217e+1 5.242e+0
9.393e+1 4.919e+0
9.568e+1 4.732e+0
9.744e+1 4.532e+0
9.919e+1 4.454e+0
1.005e+2 4.274e+0
