# Ar 25 bar (PRL 113,075001 (2014))
t[ns]       T[kK]
0.008097165991902834   17.761029411764707
0.02834008097165992   17.522058823529413
0.06477732793522267   17.016544117647058
0.08906882591093118   16.685661764705884
0.145748987854251   16.24448529411765
0.23481781376518218   15.895220588235293
0.3157894736842105   15.619485294117647
0.44129554655870445   15.371323529411764
0.5344129554655871   15.169117647058824
0.5870445344129555   15.058823529411764
0.6639676113360324   14.902573529411764
0.6963562753036437   14.985294117647058
0.8582995951417004   14.681985294117647
0.9554655870445344   14.626838235294118
1.145748987854251   14.433823529411764
1.2469635627530364   14.369485294117647
1.3927125506072875   14.222426470588236
1.465587044534413   14.295955882352942
1.5020242914979758   14.121323529411764
1.5303643724696356   14.185661764705882
1.854251012145749   13.992647058823529
1.8987854251012146   13.919117647058824
1.9838056680161944   13.9375
2.1538461538461537   13.827205882352942
2.3562753036437245   13.772058823529411
2.582995951417004   13.698529411764707
2.817813765182186   13.643382352941176
3.117408906882591   13.560661764705882
3.3238866396761133   13.496323529411764
3.5303643724696356   13.441176470588236
3.7894736842105265   13.330882352941176
4.052631578947368   13.275735294117647
4.2591093117408905   13.193014705882353
4.417004048582996   13.128676470588236
