# He 74 bar (PRL 113,075001 (2014))
t[ns]       T[kK]
0.0031746031746031746   14.790528233151186
0.007936507936507936   14.571948998178506
0.010317460317460317   14.29872495446266
0.020634920634920634   14.089253187613844
0.020634920634920634   13.897996357012751
0.030952380952380953   13.524590163934427
0.03888888888888889   13.169398907103826
0.047619047619047616   12.877959927140255
0.06111111111111111   12.714025500910747
0.06428571428571428   12.531876138433516
0.07539682539682539   12.704918032786885
0.07936507936507936   12.550091074681239
0.0865079365079365   12.404371584699454
0.11190476190476191   12.331511839708561
0.12063492063492064   12.276867030965391
0.13174603174603175   11.912568306010929
0.14206349206349206   12.14936247723133
0.1873015873015873   11.548269581056466
0.2007936507936508   11.766848816029144
0.21666666666666667   11.56648451730419
0.2253968253968254   11.730418943533698
0.2388888888888889   11.584699453551913
0.24444444444444444   11.493624772313296
0.25873015873015875   11.630236794171221
0.2706349206349206   11.429872495446267
0.27380952380952384   11.329690346083789
0.2912698412698413   11.51183970856102
0.2984126984126984   11.247723132969035
0.30952380952380953   11.329690346083789
0.31507936507936507   11.147540983606557
0.3246031746031746   11.366120218579235
0.3373015873015873   11.366120218579235
0.3492063492063492   11.293260473588342
0.3682539682539683   11.33879781420765
0.38571428571428573   11.129326047358834
0.4095238095238095   11.229508196721312
0.42698412698412697   11.202185792349727
0.42698412698412697   11.502732240437158
0.4444444444444444   11.010928961748634
0.4523809523809524   11.28415300546448
0.45634920634920634   11.083788706739526
0.4753968253968254   11.138433515482696
0.503968253968254   11.102003642987249
0.5349206349206349   11.020036429872496
0.5476190476190477   11.010928961748634
0.5611111111111111   10.938069216757741
0.5984126984126984   10.92896174863388
0.6095238095238096   11.020036429872496
0.6198412698412699   10.70127504553734
0.6277777777777778   10.856102003642988
0.6412698412698413   10.546448087431694
0.6531746031746032   10.81056466302368
0.6698412698412698   10.86520947176685
0.6761904761904762   11.147540983606557
0.6857142857142857   10.683060109289617
0.6944444444444444   10.892531876138433
0.7253968253968254   10.856102003642988
0.7380952380952381   10.564663023679417
0.7666666666666667   10.828779599271403
0.792063492063492   10.58287795992714
0.8174603174603174   10.783242258652095
0.8476190476190476   10.428051001821494
0.8642857142857143   10.719489981785063
0.8698412698412699   10.537340619307832
