# Ar 25 bar Profile Intenstiy at 0.1ns
 r[μm]     			I[NA]   		
-98.3704974271012      1.1065573770491803    
-79.15951972555746      1.6700819672131146    
-53.77358490566038      2.5922131147540983    
-38.507718696397944      3.7704918032786887    
-28.044596912521442      5.256147540983607    
-21.526586620926246      7.100409836065573    
-13.979416809605489      12.530737704918032    
-9.00514579759863      20.061475409836063    
-5.231560891938251      27.899590163934427    
-2.4871355060034332      32.20286885245902    
1.6295025728987937      32.459016393442624    
7.632933104631213      24.15983606557377    
11.063464837049743      24.518442622950822    
26.329331046312177      10.84016393442623    
31.818181818181813      6.741803278688525    
38.507718696397944      5.153688524590164    
52.058319039451106      3.5655737704918034    
66.98113207547169      2.6434426229508197    
87.73584905660377      2.1823770491803276    
98.54202401372211      1.8237704918032787    
