# Ar 25 bar Profile Intenstiy at 2 ns
 r[μm]			I[NA]   		
-96.69258524929441     0.6786500362296239
-77.2527554822409     1.077104476099839
-57.24116432260419     1.4186381931993264
-39.135444471578126     2.158626350169023
-25.41321292650881     3.29706894700894
-15.502713529428945     5.57395414068878
-7.688656867973052     11.095398702926111
-3.6863428237384355     16.730687837529942
-0.8275410954383915     19.462949757263242
3.1747834180280563     19.633715052400476
6.795923200540528     17.527596717270377
10.60764487929817     14.795336360949591
16.325248335898266     11.095398702926111
21.089900434345296     8.24929377423883
28.33220093783393     4.947810556085572
39.95796880881561     2.898614507138725
52.15552424546007     2.2155470729397564
73.31061725179953     1.361717470428593
93.70338267315836     1.190949048466333
