# Ar 25 bar Profile Intenstiy at 3 ns
 r[μm]			I[NA]   
-98.40786419242806        0.507884741092397
-67.15166371968405        1.0201837533291056
-46.37773450583493        1.5324827655658204
-28.843770812776135        2.3863154949020164
-16.26505158364138        4.2647431218866085
-10.738040492518252        6.48470759279571
-5.020447505149981        11.436932420025595
-0.8275410954383915        15.933778957789508
2.6030167908289386        16.502998692796954
7.177086993030819        14.681491788583097
9.464132563363613        12.233841299766032
11.560575298987558        12.518451167269752
21.089900434345296        7.566226340039867
26.2357372637463        4.720121411352585
39.195641223835025        2.3863154949020164
63.40012832395148        1.3047936208328328
83.98347564155549        1.1340283256955996
96.37159203598142        0.906339180962612
