# Xe 5 bar (PRL 113,075001 (2014))
t[ns]       T[kK]
0	16.60952380952381
0.05905511811023622   16.571428571428573
0.11811023622047244	16.495238095238097
0.20669291338582677   16.066666666666666
0.2952755905511811   15.695238095238096
0.5314960629921259   15.066666666666666
0.7677165354330708   14.742857142857144
1.0334645669291338   14.323809523809524
1.624015748031496   13.704761904761906
2.0669291338582676   13.485714285714286
2.258858267716535   13.40952380952381
2.6279527559055116   13.142857142857142
3.0856299212598426   13.038095238095238
3.6171259842519685   12.847619047619048
4.163385826771654   12.638095238095238
4.931102362204724   12.361904761904762
5.669291338582677   12.209523809523809
5.994094488188976   12.161904761904761
6.200787401574803   12.257142857142858
7.02755905511811   12.057142857142857
7.839566929133858   11.933333333333334
8.784448818897637   11.790476190476191
10.127952755905511   11.60952380952381
11.574803149606298   11.457142857142857
12.874015748031496   11.276190476190477
13.789370078740157   11.152380952380952
14.394685039370078   11.095238095238095
14.970472440944881   11.076190476190476
15.664370078740157   11.00952380952381
16.476377952755904   10.904761904761905
17.140748031496063   10.904761904761905
17.701771653543307   10.847619047619048
