#Xenon 5 bar Bataller paper
t[ns]                  FWHM[μm]
0.02865329512893983      51.181619256017505
0.21489971346704873      50.56892778993435
0.4584527220630373      49.43107221006564
0.5587392550143266      49.518599562363235
0.6876790830945559      49.16849015317287
0.8166189111747851      48.993435448577685
0.9169054441260746      48.643326039387304
1.332378223495702      48.818380743982495
1.7478510028653296      49.08096280087527
2.048710601719198      49.08096280087527
2.378223495702006      49.34354485776805
2.851002865329513      49.69365426695842
3.3954154727793697      49.86870897155361
3.8108882521489975      50.0437636761488
4.0687679083094554      49.43107221006564
4.226361031518625      49.86870897155361
4.885386819484241      50.21881838074398
5.243553008595989      49.86870897155361
5.5014326647564475      50.91903719912473
5.888252148997135      50.131291028446384
6.074498567335244      51.094091903719914
6.404011461318052      51.094091903719914
6.80515759312321      51.094091903719914
7.0200573065902585      50.74398249452954
7.134670487106018      51.44420131291028
7.736389684813754      52.056892778993436
8.28080229226361      51.794310722100654
8.939828080229226      52.58205689277899
9.369627507163324      53.19474835886214
9.555873925501434      52.75711159737418
10.1432664756447      53.28227571115974
10.659025787965616      53.89496717724289
11.146131805157594      54.157549234135665
11.7621776504298      54.24507658643326
12.263610315186247      55.47045951859956
12.836676217765044      55.90809628008753
13.42406876790831      56.520787746170676
13.753581661891118      56.87089715536105
14.369627507163324      57.221006564551416
14.914040114613181      58.00875273522976
15.37249283667622      58.796498905908095
15.787965616045847      59.93435448577681
16.117478510028654      59.409190371991244
16.232091690544415      59.75929978118162
16.53295128939828      59.84682713347921
16.776504297994272      60.72210065645514
17.478510028653297      61.2472647702407
