# Ar 25 bar Profile Intenstiy at 1 ns
 r[μm]			I[NA]   
-98.54202401372213        0.7991803278688527
-76.92967409948542        1.5163934426229506
-52.22984562607204        1.8237704918032787
-39.5368782161235        2.6434426229508197
-27.358490566037737        3.8729508196721314
-19.639794168096056        5.461065573770492
-13.63636363636364        8.227459016393443
-8.319039451114925        13.96516393442623
-7.593365919850477        15.791472460625133
-2.0663600633432537        25.012856244298458
1.3641978229240692        26.492830994825347
4.222999551224113        22.62212647825213
8.03473169921358        17.897590795755228
10.32176680031452        17.726825500618
14.89584747174824        14.254575423914998
20.80403282459349        10.440793193525026
26.521625811961755        6.797779385097308
34.907438631384935        4.122439751547259
48.15319973199365        2.898614507138725
61.30366464986385        2.2724709225355166
74.26356860995257        1.8170926330695414
84.55524226875457        1.5894034883365538
95.03749782380171        1.361717470428593
